iter	Passed	Remaining
0	0	79
1	1	69
2	2	66
3	2	70
4	3	70
5	4	69
6	5	69
7	5	68
8	6	68
9	7	67
10	8	65
11	8	64
12	9	62
13	10	61
14	10	60
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	14	56
21	15	55
22	16	54
23	17	53
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
