iter	Passed	Remaining
0	0	701
1	1	627
2	1	599
3	2	584
4	2	581
5	3	574
6	4	569
7	4	564
8	5	561
9	5	560
10	6	559
11	6	560
12	7	559
13	7	556
14	8	555
15	9	560
16	9	565
17	10	565
18	10	562
19	11	561
20	12	562
21	12	563
22	13	564
23	13	565
24	14	566
25	15	567
26	15	567
27	16	565
28	16	564
29	17	563
30	17	561
31	18	562
32	19	562
33	19	561
34	20	559
35	20	558
36	21	558
37	21	556
38	22	555
39	23	554
40	23	553
41	24	552
42	24	552
43	25	551
44	25	550
45	26	549
46	27	548
47	27	547
48	28	546
49	28	545
50	29	544
51	29	543
52	30	542
53	30	541
54	31	541
55	32	540
56	32	539
57	33	538
58	33	537
59	34	536
60	34	536
61	35	535
62	35	535
63	36	534
64	37	533
65	37	532
66	38	532
67	39	538
68	39	539
69	40	541
70	41	541
71	42	541
72	42	541
73	43	542
74	44	542
75	44	543
76	45	544
77	46	544
78	46	544
79	47	544
80	47	544
81	48	544
82	48	541
83	49	541
84	50	541
85	50	540
86	51	540
87	52	539
88	52	541
89	53	540
90	54	539
91	54	539
92	55	538
93	55	537
94	56	536
95	56	536
96	57	535
97	58	534
98	58	533
99	59	532
100	59	532
101	60	532
102	61	531
103	61	530
104	62	529
105	62	529
106	63	528
107	63	527
108	64	526
109	64	525
110	65	524
111	66	524
112	66	523
113	67	522
114	67	522
115	68	521
116	68	519
117	69	518
118	69	517
119	70	517
120	71	516
121	71	514
122	72	514
123	72	513
124	73	513
125	73	512
126	74	510
127	74	510
128	76	513
129	76	512
130	77	511
131	77	510
132	78	510
133	78	509
134	79	508
135	79	507
136	80	507
137	81	506
138	81	506
139	82	505
140	82	505
141	83	504
142	84	503
143	84	502
144	85	502
145	85	501
146	86	500
147	86	499
148	87	499
149	88	498
150	88	498
151	89	497
152	89	496
153	90	496
154	90	495
155	91	494
156	91	493
157	92	493
158	93	492
159	93	491
160	94	490
161	94	489
162	95	488
163	95	488
164	96	487
165	96	486
166	97	486
167	97	485
168	98	484
169	99	483
170	99	483
171	100	482
172	100	482
173	101	481
174	101	480
175	102	480
176	103	479
177	103	478
178	104	478
179	104	477
180	105	476
181	105	476
182	106	475
183	107	474
184	107	474
185	108	473
186	108	472
187	109	471
188	109	471
189	110	470
190	110	469
191	111	469
192	112	468
193	112	467
194	113	467
195	113	466
196	114	465
197	114	465
198	115	464
199	115	463
200	116	463
201	117	462
202	117	461
203	118	461
204	118	460
205	119	459
206	119	459
207	120	458
208	121	457
209	121	457
210	122	456
211	122	456
212	123	455
213	123	454
214	124	454
215	124	453
216	125	452
217	126	452
218	126	451
219	127	450
220	127	450
221	128	449
222	128	448
223	129	448
224	129	447
225	130	447
226	131	446
227	131	445
228	132	445
229	132	444
230	133	443
231	133	443
232	134	442
233	135	441
234	135	441
235	136	440
236	136	440
237	137	439
238	137	438
239	138	438
240	139	437
241	139	437
242	140	436
243	140	435
244	141	435
245	141	434
246	142	434
247	142	433
248	143	432
249	144	432
250	144	431
251	145	430
252	145	430
253	146	429
254	146	428
255	147	428
256	147	427
257	148	426
258	149	426
259	149	425
260	150	425
261	150	424
262	151	423
263	151	423
264	152	422
265	152	422
266	153	421
267	154	420
268	154	420
269	155	419
270	155	419
271	156	418
272	156	417
273	157	417
274	158	416
275	158	416
276	159	415
277	159	414
278	160	414
279	160	413
280	161	413
281	162	412
282	162	411
283	163	411
284	163	410
285	164	410
286	164	409
287	165	408
288	165	408
289	166	407
290	167	407
291	167	406
292	168	406
293	168	405
294	169	404
295	170	404
296	170	403
297	171	403
298	171	402
299	172	401
300	172	401
301	173	401
302	174	400
303	174	400
304	175	399
305	175	399
306	176	398
307	177	397
308	177	397
309	178	396
310	178	396
311	179	395
312	179	395
313	180	394
314	181	394
315	181	393
316	182	393
317	182	392
318	183	391
319	184	391
320	184	390
